response,is_correct,nback_type,rt,participant,session,date
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[1.06744129199069],200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.5383678749785759],200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[1.21314387494931],200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.587958374992013],200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,,,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.47738154197577387],200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.4137216660310514],200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.49119429202983156],200,pink,2023-11-18_15h34.14.289
['space'],1.0,1.0,[0.4583147920202464],200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
,1.0,1.0,,200,pink,2023-11-18_15h34.14.289
